-1.20913e+02 	 -1.20888e+02 	 3.52975e+01 	 3.53225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.84407e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.53225e+01 	 3.53475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.85125e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.53475e+01 	 3.53725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.85888e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.53725e+01 	 3.53975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.87057e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.53975e+01 	 3.54225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.88486e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.54225e+01 	 3.54475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.89961e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.54475e+01 	 3.54725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.91742e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.54725e+01 	 3.54975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.93799e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.54975e+01 	 3.55225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.96011e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.55225e+01 	 3.55475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.98511e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.55475e+01 	 3.55725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 2.00019e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.55725e+01 	 3.55975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 2.00560e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.55975e+01 	 3.56225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 2.00642e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.56225e+01 	 3.56475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 2.00502e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.56475e+01 	 3.56725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.97208e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.56725e+01 	 3.56975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.93900e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.56975e+01 	 3.57225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.90962e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.57225e+01 	 3.57475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.84693e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.57475e+01 	 3.57725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.74540e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.57725e+01 	 3.57975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.63614e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.57975e+01 	 3.58225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.48205e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.58225e+01 	 3.58475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.36379e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.58475e+01 	 3.58725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.25014e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.58725e+01 	 3.58975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.09093e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.58975e+01 	 3.59225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 9.96861e-05 1
-1.20913e+02 	 -1.20888e+02 	 3.59225e+01 	 3.59475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 9.01289e-05 1
-1.20913e+02 	 -1.20888e+02 	 3.59475e+01 	 3.59725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 8.68449e-05 1
-1.20913e+02 	 -1.20888e+02 	 3.59725e+01 	 3.59975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 8.63197e-05 1
-1.20913e+02 	 -1.20888e+02 	 3.59975e+01 	 3.60225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 9.60730e-05 1
-1.20913e+02 	 -1.20888e+02 	 3.60225e+01 	 3.60475e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.07133e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.60475e+01 	 3.60725e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.22341e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.60725e+01 	 3.60975e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.40202e-04 1
-1.20913e+02 	 -1.20888e+02 	 3.60975e+01 	 3.61225e+01 	 0.00000e+00 	 5.00000e+00 	 2.000 	 8.000 	 1.58251e-04 1
