00001 	 -1.00139e+03 	 3.60477e+01 	 -1.19873e+02 	 1.14300e+01 	 2.14000e+00 	 2.90000e-01 	 2.90000e-01
00002 	 -1.00133e+03 	 3.66188e+01 	 -1.21225e+02 	 5.30000e+00 	 2.51000e+00 	 3.00000e-02 	 3.00000e-02
00003 	 -1.00058e+03 	 3.66433e+01 	 -1.21260e+02 	 5.40000e+00 	 2.01000e+00 	 4.00000e-02 	 4.00000e-02
00004 	 -9.99097e+02 	 3.66428e+01 	 -1.21260e+02 	 5.24000e+00 	 2.03000e+00 	 4.00000e-02 	 4.00000e-02
00005 	 -9.98948e+02 	 3.66175e+01 	 -1.21225e+02 	 5.30000e+00 	 2.15000e+00 	 4.00000e-02 	 4.00000e-02
00006 	 -9.97382e+02 	 3.66152e+01 	 -1.21221e+02 	 5.44000e+00 	 2.11000e+00 	 4.00000e-02 	 4.00000e-02
00007 	 -9.97278e+02 	 3.66148e+01 	 -1.21221e+02 	 5.57000e+00 	 2.33000e+00 	 4.00000e-02 	 4.00000e-02
00008 	 -9.97219e+02 	 3.66363e+01 	 -1.21250e+02 	 6.27000e+00 	 2.72000e+00 	 5.00000e-02 	 5.00000e-02
00009 	 -9.95929e+02 	 3.64438e+01 	 -1.21004e+02 	 1.33000e+00 	 2.17000e+00 	 7.00000e-02 	 7.00000e-02
00010 	 -9.94272e+02 	 3.67093e+01 	 -1.21344e+02 	 3.78000e+00 	 2.29000e+00 	 4.00000e-02 	 4.00000e-02
00011 	 -9.92702e+02 	 3.66423e+01 	 -1.21255e+02 	 4.57000e+00 	 2.22000e+00 	 5.00000e-02 	 5.00000e-02
00012 	 -9.92409e+02 	 3.64698e+01 	 -1.21048e+02 	 7.84000e+00 	 2.37000e+00 	 4.00000e-02 	 4.00000e-02
00013 	 -9.92332e+02 	 3.66437e+01 	 -1.21259e+02 	 5.79000e+00 	 2.80000e+00 	 6.00000e-02 	 6.00000e-02
00014 	 -9.91831e+02 	 3.66370e+01 	 -1.21251e+02 	 6.22000e+00 	 2.09000e+00 	 4.00000e-02 	 4.00000e-02
00015 	 -9.91444e+02 	 3.66438e+01 	 -1.21260e+02 	 5.93000e+00 	 2.27000e+00 	 4.00000e-02 	 4.00000e-02
00016 	 -9.90158e+02 	 3.61493e+01 	 -1.20327e+02 	 1.21400e+01 	 2.26000e+00 	 3.10000e-01 	 3.10000e-01
00017 	 -9.89932e+02 	 3.65675e+01 	 -1.21037e+02 	 7.58000e+00 	 2.31000e+00 	 9.00000e-02 	 9.00000e-02
00018 	 -9.89569e+02 	 3.64768e+01 	 -1.21056e+02 	 7.54000e+00 	 2.37000e+00 	 4.00000e-02 	 4.00000e-02
00019 	 -9.89070e+02 	 3.52062e+01 	 -1.20668e+02 	 5.73000e+00 	 2.14000e+00 	 5.00000e-02 	 5.00000e-02
00020 	 -9.88165e+02 	 3.60182e+01 	 -1.20967e+02 	 1.03100e+01 	 2.38000e+00 	 1.20000e-01 	 1.20000e-01
00021 	 -9.86862e+02 	 3.55537e+01 	 -1.19433e+02 	 7.00000e+00 	 2.36000e+00 	 3.90000e-01 	 3.90000e-01
00022 	 -9.86032e+02 	 3.57650e+01 	 -1.21281e+02 	 5.72000e+00 	 3.24000e+00 	 9.00000e-02 	 9.00000e-02
00023 	 -9.82662e+02 	 3.63743e+01 	 -1.20948e+02 	 3.69000e+00 	 2.36000e+00 	 6.00000e-02 	 6.00000e-02
00024 	 -9.81977e+02 	 3.62902e+01 	 -1.19864e+02 	 2.34500e+01 	 2.55000e+00 	 1.50000e-01 	 1.50000e-01
00025 	 -9.81130e+02 	 3.66162e+01 	 -1.21221e+02 	 4.80000e+00 	 2.05000e+00 	 5.00000e-02 	 5.00000e-02
00026 	 -9.81010e+02 	 3.66168e+01 	 -1.21220e+02 	 4.55000e+00 	 2.13000e+00 	 4.00000e-02 	 4.00000e-02
00027 	 -9.79669e+02 	 3.66170e+01 	 -1.21222e+02 	 5.16000e+00 	 2.02000e+00 	 4.00000e-02 	 4.00000e-02
00028 	 -9.79282e+02 	 3.66180e+01 	 -1.21223e+02 	 5.40000e+00 	 2.11000e+00 	 3.00000e-02 	 3.00000e-02
00029 	 -9.79138e+02 	 3.63325e+01 	 -1.20519e+02 	 1.26200e+01 	 2.14000e+00 	 5.00000e-02 	 5.00000e-02
00030 	 -9.77395e+02 	 3.66313e+01 	 -1.21240e+02 	 4.93000e+00 	 2.22000e+00 	 4.00000e-02 	 4.00000e-02
00031 	 -9.77188e+02 	 3.66032e+01 	 -1.21209e+02 	 7.22000e+00 	 2.87000e+00 	 5.00000e-02 	 5.00000e-02
00032 	 -9.76869e+02 	 3.66032e+01 	 -1.21210e+02 	 6.88000e+00 	 2.13000e+00 	 3.00000e-02 	 3.00000e-02
00033 	 -9.76118e+02 	 3.65892e+01 	 -1.21196e+02 	 8.47000e+00 	 2.03000e+00 	 4.00000e-02 	 4.00000e-02
00034 	 -9.75723e+02 	 3.59095e+01 	 -1.20452e+02 	 6.45000e+00 	 2.18000e+00 	 6.00000e-02 	 6.00000e-02
00035 	 -9.75385e+02 	 3.60237e+01 	 -1.19826e+02 	 1.58700e+01 	 3.08000e+00 	 2.40000e-01 	 2.40000e-01
00036 	 -9.74717e+02 	 3.62112e+01 	 -1.20277e+02 	 8.63000e+00 	 2.10000e+00 	 9.00000e-02 	 9.00000e-02
00037 	 -9.74515e+02 	 3.58998e+01 	 -1.20443e+02 	 6.99000e+00 	 2.36000e+00 	 5.00000e-02 	 5.00000e-02
