170.270   -43.503 1980 12 01 3.69   2.0 02 05 02.90
170.274   -43.502 1980 12 04 2.71   1.0 19 34 52.64
170.125   -43.562 1980 12 05 2.37   1.0 20 59 21.17
171.400   -42.920 1980 12 09 3.77  12.0 05 07 34.57
170.191   -43.499 1980 12 10 2.35   1.0 00 58 42.27
170.547   -43.937 1980 12 10 2.36   2.0 09 18 49.07
170.419   -44.001 1980 12 11 3.03   8.0 18 09 23.42
173.340   -42.380 1980 12 15 4.35  33.0 05 48 04.89
172.230   -42.380 1980 12 15 4.12  12.0 06 52 37.79
170.078   -43.880 1980 12 16 2.12   8.0 20 50 48.42
170.600   -43.553 1980 12 27 2.99   3.0 02 17 40.49
170.614   -44.074 1981 01 02 2.21   3.9 11 15 45.27
174.000   -42.570 1981 01 02 3.68   4.0 13 32 12.13
171.600   -42.870 1981 01 05 3.24   7.0 14 48 20.55
172.440   -42.980 1981 01 17 3.79  12.0 02 53 55.31
170.501   -43.605 1981 01 26 2.05   1.4 03 34 48.47
170.566   -43.566 1981 01 31 2.74  10.0 02 23 32.90
170.028   -44.488 1981 02 06 2.17   2.1 14 49 33.44
170.184   -43.571 1981 02 07 2.30   5.0 19 51 08.17
170.498   -43.648 1981 02 10 2.87   5.4 10 20 58.55
170.179   -44.405 1981 02 24 2.30   6.9 17 12 32.27
171.680   -42.750 1981 02 24 4.55   5.0 20 44 15.23
170.338   -43.642 1981 02 25 2.07   1.5 18 23 00.63
170.559   -43.654 1981 02 26 2.90   5.1 01 06 18.13
170.054   -44.510 1981 03 01 2.19   4.0 18 52 40.22
170.044   -44.354 1981 03 02 2.01   8.9 04 48 25.79
174.295   -42.014 1981 03 03 2.08  35.5 03 47 33.30
170.214   -43.611 1981 03 25 2.31   0.0 02 11 21.27
170.184   -44.405 1981 03 25 2.07   6.8 15 07 33.97
170.351   -43.609 1981 03 26 2.95   0.0 23 41 25.95
170.463   -43.978 1981 04 01 3.30   5.8 01 10 38.46
170.502   -43.964 1981 04 01 2.26   6.2 03 21 52.99
170.460   -43.958 1981 04 01 2.04   6.8 03 25 59.29
170.770   -44.110 1981 04 05 3.94  10.0 14 33 51.19
171.490   -42.890 1981 04 06 3.26  12.0 16 50 18.04
170.177   -44.403 1981 04 11 2.24   7.8 22 59 54.62
171.620   -42.740 1981 04 12 3.79  12.0 17 31 24.68
172.600   -42.190 1981 04 23 3.79  12.0 06 16 38.48
172.520   -43.030 1981 04 24 3.85  33.0 18 07 03.92
170.230   -43.552 1981 04 27 2.77   0.0 02 24 43.47
172.320   -43.190 1981 04 28 4.14  12.0 23 43 08.40
170.624   -43.565 1981 04 29 2.73  18.7 18 20 32.09
170.081   -44.517 1981 05 05 2.11   4.7 04 58 12.49
170.504   -43.963 1981 05 07 2.05   6.6 10 18 05.79
170.496   -43.784 1981 05 09 2.52   6.0 04 19 27.05
171.440   -42.980 1981 05 19 3.93  12.0 08 09 02.86
170.654   -43.990 1981 05 19 2.03   5.0 19 37 58.16
